iterations,time_old,time_new,speedup
1,0.00047435900023629074,0.00037341400002333103,1.270329982825102
1001,0.20115669573696776,0.1834584451676119,1.0964700782958579
2001,0.26176753835711225,0.255362017201428,1.0250840795584397
3001,0.4226892994844927,0.4600899121956703,0.9187102092008668
4001,0.5159880847806414,0.5086644243245961,1.0143978232127588
5001,0.7101250866186056,0.7019967512771182,1.0115788788576296
6001,0.7865060625024087,0.7791546674751036,1.0094350907902891
7001,0.9247420671375123,0.8818887561126686,1.048592649274427
8001,1.640161624575709,1.0820550999854273,1.515783830784401
9001,2.228590193623492,1.1651009712829328,1.9127871734322859
10001,2.39239969605144,1.3463247990199405,1.7769855370657897
11001,2.7350618393831594,1.637067780813532,1.6707077565377195
12001,5.561985590178821,1.6457374333568107,3.379631208141167
13001,10.964067694954075,1.721841489155718,6.367640554607705
14001,3.511748011229904,1.8893164515369547,1.858739973588387
15001,3.5197977375387772,1.9651016480446388,1.7911530128943347
16001,3.21924019993854,2.263441616262473,1.4222766678887604
17001,2.282522378122155,2.4039342895815143,0.9494944965902146
18001,2.5927894258551434,2.412087817435589,1.0749150205533011
19001,2.55519029662052,2.4997865507904926,1.0221633906352954
20001,2.732824944417732,2.659431434921748,1.027597443773971
21001,2.917239149536911,3.008579568873248,0.9696400187379637
22001,3.0668139442979707,2.8672572539516312,1.0695984603653237
23001,3.1185052012847096,3.045861112985645,1.0238500987419799
24001,3.209638089350362,3.6909471430580743,0.8695974136034549
25001,3.50891415095129,4.812846716168292,0.7290724924114937
26001,3.5260642426366124,6.186068706569028,0.5700008211826456
27001,3.619892465126063,6.2110238094003005,0.5828173544669729
28001,3.931692592579602,6.27436802656924,0.6266276660741896
29001,3.9508997832271464,6.759995015236421,0.5844530616253671
30001,4.239696778518764,6.17075396493976,0.687063007633647
31001,4.2286041221840875,4.188124186423141,1.0096654096103865
32001,4.388356751863324,4.258107441701827,1.0305885447806928
33001,4.650464838906785,4.428220174426667,1.0501882597806673
34001,4.610566390904233,4.600213306410528,1.002250566181198
35001,4.854352241813154,4.641596843262461,1.0458366820159144
36001,4.87874959705622,4.9005786834013625,0.9955456104767627
37001,5.125959545704319,4.885011303767003,1.0493239886162622
38001,5.1601184890156935,5.153861454364387,1.0012140478952938
39001,5.298611628353627,5.153199189925083,1.0282178959262505
40001,5.318955570567022,5.406793136446717,0.9837542210950165
41001,6.189210692676306,5.401201683416563,1.1458951276859715
42001,9.894690302256944,5.604987628910032,1.7653366889198834
43001,9.955088458299592,5.6692057789271075,1.7559934930045147
44001,10.4053943408606,5.881146559388044,1.7692798905428606
45001,7.270174675847951,5.87568253781957,1.2373327913910523
46001,6.366394136863273,6.3124029231659256,1.0085531950913977
47001,6.368019006885073,6.302198736485473,1.0104440169457916
48001,6.4219464377644435,6.316995261325649,1.0166140976994766
49001,6.767236464049163,8.941512946129452,0.7568334916943249
50001,7.1197617223877145,11.612736530086902,0.6130993934066663
51001,6.825932509191467,11.675018257437772,0.5846613991239704
52001,7.156988831751464,9.233577325380793,0.775104661990396
53001,7.281269119840605,7.1829859354788805,1.0136827755538647
54001,7.309734182943177,7.179800596810811,1.0180971023331875
55001,7.53522646162438,7.171934596442044,1.0506546539566275
56001,7.665491241324712,7.559193373183053,1.01406206494449
57001,7.770810927625819,7.611857639016744,1.0208823254647215
58001,7.657015615232337,7.4421431306036965,1.028872393456804
59001,11.723780304776737,7.933238039381427,1.4778051845386033
60001,14.15077421230576,7.976383037502138,1.774084086204714
61001,13.24872258861027,8.210715899693273,1.6135892107904015
62001,8.489343712690188,8.289347907002432,1.024126844226047
63001,8.509260615484147,8.141453277363693,1.0451771109640948
64001,8.560769369928414,8.559405638622186,1.0001593254676555
65001,8.764381714567813,23.39837491945924,0.3745722403686643
66001,8.854111601172123,15.47342849233462,0.5722139476431071
67001,9.070660710973494,8.853857575154702,1.0244868560374378
68001,9.151272565556226,9.028560130989701,1.0135915841270553
69001,9.350796436824355,9.24945754816502,1.0109561980398991
70001,9.607860153184511,9.35116827621282,1.027450246791586
71001,9.665185057446092,9.394981171816625,1.0287604499346985
72001,10.89534903219183,9.532491243874318,1.1429697393316043
73001,16.875851482882936,9.764964554805248,1.7282040695763188
74001,16.411685836538695,9.914140823069257,1.6553815534221858
75001,10.063931793968754,9.944561822389248,1.0120035426106715
76001,10.28175975453136,10.104696634787038,1.0175228535941152
77001,10.432087239894525,14.124390731260306,0.7385867070928644
78001,10.591212003026746,17.921975915976496,0.5909622941511287
79001,10.557569448429128,13.38783181407677,0.7885944188011285
80001,10.864706517134284,10.539011835999347,1.0309037209752838
81001,11.241589363341168,10.711345847207296,1.0495029778421465
82001,11.156550543836468,10.827834555148577,1.0303584236546715
83001,11.278416642898593,11.19237728629625,1.0076873173948209
84001,18.594878384963046,11.096896934342515,1.6756827151756168
85001,18.888230751863006,11.212633091781207,1.6845490793512155
86001,11.647417163510339,11.626105105697642,1.0018331210339955
87001,11.723583922293043,11.487527609031805,1.0205489223874114
88001,11.839733070892716,16.799900205786038,0.7047502024336433
89001,12.074459076557021,20.407517895376973,0.5916672051181842
90001,12.13046576145857,12.603687049414463,0.9624537418216935
91001,12.434662633144677,12.135469625346508,1.0246544235233606
92001,12.481191953653703,12.549016050864285,0.9945952657215773
93001,12.56394864476966,12.238661357091813,1.0265786656062148
94001,21.196838615884875,12.434798943689184,1.7046386284068176
95001,18.95744621996235,12.573703793386104,1.5077058066163576
96001,13.020999053995618,12.816090259550101,1.0159884013217546
97001,12.995048148186308,12.811708098102237,1.014310351803225
